tag,descripcion,sI/NO
P#LS0512_LTBB70,NIVEL CUBA ENZIMATICA Nº9,
P#LS0326_LTHG73,NIVEL CUBA F,
P#LS0522_NFP45G,NIVEL CUBA FILTRACION P45 M2 GL,
P#LS0513_NFP45H,NIVEL CUBA FILTRACION P45M2 H0,
P#LS0326_LTHH73,NIVEL CUBA G,
P#LS0326_KMEZ1_TCO_STK,NIVEL CUBA G MEZCLAS GLUCOSA,
P#LS0422_LTDI70,NIVEL CUBA G0,
P#LS0323_LTFA70,NIVEL CUBA G-2,
P#LS04460.LT28170,NIVEL CUBA H,
P#LS0335_LTFA70,NIVEL CUBA H,
P#LS0314_LTEG70,NIVEL CUBA H03 (SDA GRUPOS H0),
P#LS0450_LTBB70,NIVEL CUBA H1,
P#LS0450_LTBC70,NIVEL CUBA H2,
P#LS0450_LTAA70,NIVEL CUBA H3,
P#LS0450_LTAB70,NIVEL CUBA H4,
P#LS0326_LTHJ70,NIVEL CUBA I,
P#LS0326_KMEZ4_TCO_STK,NIVEL CUBA I MEZCLAS GLUCOSA,
P#LS0326_LTHI70,NIVEL CUBA J,
P#LS0326_KMEZ2_TCO_STK,NIVEL CUBA J MEZCLAS GLUCOSA,
P#LS0526_LTCH70,NIVEL CUBA K,
P#LS0430_LTAB70,NIVEL CUBA M1B,
P#LS0633_LTBI71,NIVEL CUBA M21-2,
P#LS0430_LTHE70,NIVEL CUBA M7,
P#LS0511_LTAH70,NIVEL CUBA MEZCLA,
P#LS0326_LTAC70,NIVEL CUBA PEQUEÑAS AGUAS,
P#LS0624_LTBJ70,NIVEL CUBA RECUP. NIAG. GL,
P#LS0541_LTAI70,NIVEL CUBA SALIDA CRIST.HORIZ.,
P#LS0843_LTCA70,NIVEL CUBA SALIDA TURBINAS,
P#LS0326_LTGG70,NIVEL CUBA SDF,
P#LS0326_GG100_TCO_STK,NIVEL CUBA SDF,
P#LS0303_LTAQ70,NIVEL CUBA SOSA DILUIDA,
P#LS0434_LTCA70,NIVEL CUBA STOCK Nº1 MLE,
P#LS0434_LTCJ70,NIVEL CUBA STOCK Nº10 MLE,
P#LS0434_LTCK70,NIVEL CUBA STOCK Nº11 MLE,
P#LS0434_LTCB70,NIVEL CUBA STOCK Nº2 MLE,
P#LS0434_LTCC70,NIVEL CUBA STOCK Nº3 MLE,
P#LS0434_LTCD70,NIVEL CUBA STOCK Nº4 MLE,
P#LS0434_LTCE70,NIVEL CUBA STOCK Nº5 MLE,
P#LS0434_LTCF70,NIVEL CUBA STOCK Nº6 MLE,
P#LS0434_LTCG70,NIVEL CUBA STOCK Nº7 MLE,
P#LS0434_LTCI70,NIVEL CUBA STOCK Nº9 MLE,
P#LE3001_LTAI70,NIVEL CUBA TAMPON EDAR,
P#LS0415_LTER70,NIVEL CUBA TIERRAS NIAGARA H0,
P#LS0624_LTFJ70,NIVEL CUBA TIERRAS NIAGARAS GLUC,
P#LS0313_LTER70,NIVEL CUBA TIERRAS P45 H0,
P#LS1727_LTHM70,NIVEL CUBA W10 1,
P#LS1727_LTHM71,NIVEL CUBA W10 2,
P#LE0716_LTAC74,NIVEL CUBAS CMA RECUP SALES SEP,
P#LS0300_LTEW70,NIVEL CUBETA RECUP. ZONA W7,
P#LS0325_LTCG73,NIVEL CUERPO 3 W8,
P#LS0327_LTHL70,NIVEL CUERPO EVAPORADOR W7,
P#LS04245.LTDA70,NIVEL DC H CANAL SDA CRIST,
P#LS0521_LTBA70,NIVEL E1,
P#LS0335_LTFB70,NIVEL FB0,
P#LS0331_LTFJ70,NIVEL FB1,
P#LS0306_LTFM70,NIVEL FB2,
P#LS0333_LTFO70,NIVEL FB3,
P#LS0327_LTHL75,NIVEL FLASH EVAPORADOR W7,
P#LS1727_LTHP85,NIVEL FLASH Nº1 W-10,
P#LS1727_LTHP77,NIVEL FLASH Nº2 W-10,
P#LS0422_LTDC71,NIVEL FLASH P45 GLUCOSA,
P#LS0313_LTCF71,NIVEL FLASH PRECOAT 45 H0,
P#LS0511_LTAP70,NIVEL FLASH SDA D.C.,
P#LE3012_LTBG70,NIVEL FOSO AGUAS RESID. ALMIDON,
P#LS0300_LTBA70,NIVEL FOSO AGUAS RESIDUALES,
P#LE3016_LTAT95,NIVEL FOSO PIERALISI,
P#LS04205.LTGD70,NIVEL G1,
P#LS0422_LTDD70,NIVEL G1,
P#LS0623_LTFF70,NIVEL G3,
P#LS0432_LTAG70,NIVEL G3 ALIM TORRE NEGRO,
P#LS0324_LTFH70,NIVEL G4,
P#LS0624_LTFL70,NIVEL G5,
P#LS0432_LTAJ70,NIVEL G6,
P#LS0325_LTCB70,NIVEL G8/G9,
P#LS0314_LTCI70,NIVEL H02,
P#LS0714_LTCJ70,NIVEL H02A,
P#LS0415_LTEI70,NIVEL H04,
P#LS0415_LTEM70,NIVEL H05,
P#LS0415_LTEP70,NIVEL H06,
P#LS0716_LTDA70,NIVEL H07,
P#LE3216_LTAE73,NIVEL INFERIOR 2 CUERPO SALES,
P#LS0843_LTBA71,NIVEL IZQ CANAL TURBINAS DX,
P#LS04245.LTDA71,NIVEL IZQ NIVEL CANAL SDA CRIST,
P#LS3329_LTBC70,NIVEL LM4,
P#LS0633_LTBH70,NIVEL M 21 1,
P#LS0436_LTBB70,NIVEL M10,
P#LS0436_LTBE72,NIVEL M11,
P#LS0331_LTFL70,NIVEL M1-A,
P#LS0430_LTHB70,NIVEL M2,
P#LS0431_LTAA72,NIVEL M3,
P#LS0431_LTAF70,NIVEL M5,
P#LS0540_LTLS73,NIVEL MEMBRANA SWENSON,
P#LS0422_LTDB71,NIVEL Nº1 TORTA P45 GLUCOSA,
P#LS0422_LTDB72,NIVEL Nº2 TORTA P45 GLUCOSA,
P#LC0909_LTAF70,NIVEL NODRIZA CALDERAS,
P#LS0528_LTER72,NIVEL NUEVO CISTERNA 19 GLUCOSA,
P#LS0528_LTES72,NIVEL NUEVO CISTERNA 20 GLUCOSA,
P#LS0528_LTET72,NIVEL NUEVO CISTERNA 21 GLUCOSA,
P#LS0528_LTEU72,NIVEL NUEVO CISTERNA 22 GLUCOSA,
P#LS0528_LTEV72,NIVEL NUEVO CISTERNA 23 GLUCOSA,
P#LS0528_LTEX72,NIVEL NUEVO CISTERNA 24 GLUCOSA,
P#LS0313_LTCG70,NIVEL SALIDA  CUBA H01 P45 H0,
P#LS0546_DI100_TCO_STK,NIVEL SILO STOCK DEXTROSA,
P#LS0417_LTDR72,NIVEL STOCK C4 H0,
P#LS0417_DP100_TCO_STK,NIVEL STOCK H0 CARGA (C5),
P#LS0417_EP100_TMS_STK,NIVEL STOCK H0 DILUIDO (CH06),
P#LE3216_LTAE72,NIVEL SUPERIOR 2 CUERPO SALES,
P#LC0900_LVBF73,NIVEL TAMIZ TITANIC AH (OUT),
P#LC0900_LTBF73,NIVEL TAMIZ TITANIC AH (PV),
P#LE0913_LTBE70,NIVEL TITANIC AZUCARES,
P#LS0843_TLAVT2,NIVEL TORTA EN LAVADO T2,
P#LS0843_TIN2T2,NIVEL TORTA FIN FASE CARGA T2,
P#LS0843_TFINT2,NIVEL TORTA FINAL TURBINA 2,
P#LS0843_TIN1T2,NIVEL TORTA INICIO FASE CARGA T2,
P#LS0843_TTALT2,NIVEL TORTA TALON T2 DX,
P#LS3811_LTBB70,NIVEL TORTA TURBINA 1 DX,
P#LS3812_LTBC70,NIVEL TORTA TURBINA 2 DX,
P#LS3808_LTBM70,NIVEL TORTA TURBINA 3 DX,
P#LS0843_LTBB70,NIVEL TORTA TURBINA DEXTROSA Nº2,
P#LS0540_LTAA79,NIVEL ULTRASONIDOS SWENSON,
P#LS3333_LVBB70,VÁLVULA REGULADORA NIVEL M10,
P#LS0511_LVAN70,VLV REG NIVEL COLUMNAS PASAJE DC,
P#LS0511_LVAL71,VLV REG NIVEL CUBA ALIM 2 TUYERE,
P#LS0511_LVAL73,VLV REG NIVEL CUBA ALIMENTA D.C.,
P#LS0624_LVFL70,VLV REG NIVEL CUBA G-5,
P#LC0909_LVAF70,VLV REG NIVEL CUBA NODRIZA,
P#LS0511_LVAR70,VLV REG NIVEL CUBA SDA D.C.,
P#LS0511_LVAP70,VLV REG NIVEL FLASH SDA D.C.,
P#LS0511_LVAH70,VLV REGUL NIVEL CUBA MEZCLA DC,
P#LS0422_LVDB70,% BOMBA ALIM P45 M2 GLUCOSA,
P#LS0335_FVFF72,% BOMBA ALIMENT COLUMNAS 353509,
P#LS0430_LVHE70,% BOMBA ALIMENTACION CUBA M7,
P#LS0313_LVCB70,% BOMBA ALIMENTACION P45 M2 H0,
P#LC0908_PVCH89,% HZ BOMBA 1 ALIMENTACION GEA 3,
P#LS0540_FVAA80,% REG. VF BOMBA ALIMENT. SWENSON,
P#LS0843_LVBA71,% VAR. BOMBA SDA. CUBETA CH,
P#LS0842_FVAA73,% VARIADOR BOMBA ALIM. C.V.,
P#LS0327_FVHL74,% VF BOMBA ALIMENTACION W7,
P#LS0327_FVHL84,% VF BOMBA ALIMENTACION W7,
P#LS0540_FVAA72,% VF BOMBA SALIDA SWENSON A CCHH,
P#LE0716_CMED50,BOMBA RECUPERACIÓN GRUPOS H0,
P#LC0900_FTBF72,CAUDAL BOMBA TITANIC FECULERIA,
P#LE3002_FTAO71,CAUDAL SDA BOMBA BALSA RT,
P#LS0422_WTDC70,POT BOMBA VACIO Nº1 P45 GL,
P#LS0422_WTDC71,POT BOMBA VACIO Nº2 P45 GL,
P#LC3219_WTED75,POTENCIA BOMBA ALTA P OSMOSIS 1,
P#LC3219_WTEE75,POTENCIA BOMBA ALTA P OSMOSIS 2,
P#LC0910_JTGA81,POTENCIA BOMBA Nº1 SALIDA TORRES,
P#LC0910_JTGA82,POTENCIA BOMBA Nº2 SALIDA TORRES,
P#LC0910_JTGA83,POTENCIA BOMBA Nº3 SALIDA TORRES,
P#LC0910_JTGA84,POTENCIA BOMBA Nº4 SALIDA TORRES,
P#LC0910_JTGA85,POTENCIA BOMBA Nº5 SALIDA TORRES,
P#LC0910_JTGA86,POTENCIA BOMBA Nº6 SALIDA TORRES,
P#LS0841_PTAI72,PRESIÓN BOMBA SDA. CH.,
P#LC0909_PTAF76,PRESION BOMBAS SALIDA NODRIZA,
P#LS3910_PTHL85A,PRESIÓN IMPULSIÓN BOMBA ALIM. W7,
P#LS1727_FVHP82,V.F. BOMBA ALIM W-10,
P#LS1727_LVHP77,V.F. BOMBA SALIDA W-10,
P#LS0327_LVHL75,V.F.BOMBA SALIDA W-7,
P#LE0716_FVAC73,VARIAD FREC BOMBA SDA CUBAS CMA,
P#LS0335_PVAQ70,VARIADOR BOMBA BUCLE SOSA  AZ.,
P#LS0325_LVCG73,VELOCIDAD BOMBA EXTRACCION W8,
P#LE0716_LVAC72,VF BOMBA SDA CB REC SALES GL/MLE,
P#LS0841_EVAF02,VLV IMPUL.BOMBA ENF CH3,
P#LS3317_FSAN10,FASE EN CURSO ANION GRUPO 10,
P#LS3314_FSAN11,FASE EN CURSO ANION GRUPO 11,
P#LS3309_FSAN05,FASE EN CURSO ANION GRUPO 5,
P#LS3314_FSAN09,FASE EN CURSO ANION GRUPO 9,
P#LS3317_FSCA10,FASE EN CURSO CATION GRUPO 10,
P#LS3314_FSCA11,FASE EN CURSO CATION GRUPO 11,
P#LS3309_FSCA05,FASE EN CURSO CATION GRUPO 5,
P#LS3314_FSCA09,FASE EN CURSO CATION GRUPO 9,
